date,restaurant_id,restaurant_name,day_of_week,is_weekend,is_holiday,promo_flag,rain_index,customer_count,avg_ticket_vnd,raw_material_kg,revenue_vnd
2025-01-01,S01,Pho Sunrise,2,0,1,0,0.172,244,88198.0,90.48,21520292.0
2025-01-02,S01,Pho Sunrise,3,0,0,0,0.406,163,84943.0,64.96,13845689.0
2025-01-03,S01,Pho Sunrise,4,0,0,0,0.536,164,88833.0,70.81,14568550.0
2025-01-04,S01,Pho Sunrise,5,1,0,0,0.454,172,87987.0,72.02,15133718.0
2025-01-05,S01,Pho Sunrise,6,1,0,0,0.244,209,84475.0,85.52,17655191.0
2025-01-06,S01,Pho Sunrise,0,0,0,0,0.486,173,86403.0,74.54,14947769.0
2025-01-07,S01,Pho Sunrise,1,0,0,0,0.299,170,82233.0,74.04,13979639.0
2025-01-08,S01,Pho Sunrise,2,0,0,0,0.357,164,82197.0,71.57,13480269.0
2025-01-09,S01,Pho Sunrise,3,0,0,0,0.489,163,85789.0,68.94,13983664.0
2025-01-10,S01,Pho Sunrise,4,0,0,0,0.554,173,87308.0,72.95,15104337.0
2025-01-11,S01,Pho Sunrise,5,1,0,0,0.506,172,83913.0,70.2,14433056.0
2025-01-12,S01,Pho Sunrise,6,1,0,0,0.325,218,82056.0,96.88,17888246.0
2025-01-13,S01,Pho Sunrise,0,0,0,0,0.313,184,86993.0,80.58,16006741.0
2025-01-14,S01,Pho Sunrise,1,0,0,0,0.31,178,87917.0,73.9,15649247.0
2025-01-15,S01,Pho Sunrise,2,0,0,0,0.153,179,86690.0,75.82,15517572.0
2025-01-16,S01,Pho Sunrise,3,0,0,0,0.295,188,87127.0,77.49,16379877.0
2025-01-17,S01,Pho Sunrise,4,0,0,0,0.248,185,83702.0,72.12,15484887.0
2025-01-18,S01,Pho Sunrise,5,1,0,0,0.286,208,86635.0,89.7,18019984.0
2025-01-19,S01,Pho Sunrise,6,1,0,0,0.36,201,84729.0,75.87,17030521.0
2025-01-20,S01,Pho Sunrise,0,0,0,1,0.115,221,86359.0,87.78,19085390.0
2025-01-21,S01,Pho Sunrise,1,0,0,0,0.64,173,87508.0,68.59,15138807.0
2025-01-22,S01,Pho Sunrise,2,0,0,0,0.19,193,87857.0,72.66,16956410.0
2025-01-23,S01,Pho Sunrise,3,0,0,0,0.428,181,80083.0,76.35,14495096.0
2025-01-24,S01,Pho Sunrise,4,0,0,0,0.427,190,90446.0,78.65,17184749.0
2025-01-25,S01,Pho Sunrise,5,1,0,1,0.416,251,89621.0,110.7,22494931.0
2025-01-26,S01,Pho Sunrise,6,1,0,0,0.673,185,82825.0,73.38,15322596.0
2025-01-27,S01,Pho Sunrise,0,0,0,0,0.105,215,84244.0,82.33,18112555.0
2025-01-28,S01,Pho Sunrise,1,0,0,0,0.443,204,91789.0,100.66,18724933.0
2025-01-29,S01,Pho Sunrise,2,0,1,0,0.182,251,85910.0,100.28,21563465.0
2025-01-30,S01,Pho Sunrise,3,0,1,0,0.258,273,88624.0,115.74,24194443.0
2025-01-31,S01,Pho Sunrise,4,0,0,0,0.173,187,83347.0,78.29,15585805.0
2025-02-01,S01,Pho Sunrise,5,1,0,0,0.406,231,83302.0,90.12,19242853.0
2025-02-02,S01,Pho Sunrise,6,1,0,1,0.235,296,82207.0,130.57,24333356.0
2025-02-03,S01,Pho Sunrise,0,0,0,0,0.566,199,84467.0,83.38,16809019.0
2025-02-04,S01,Pho Sunrise,1,0,0,0,0.469,194,80833.0,75.23,15681590.0
2025-02-05,S01,Pho Sunrise,2,0,0,0,0.696,192,84597.0,82.02,16242553.0
2025-02-06,S01,Pho Sunrise,3,0,0,0,0.424,198,88761.0,85.3,17574754.0
2025-02-07,S01,Pho Sunrise,4,0,0,0,0.417,189,80348.0,87.24,15185821.0
2025-02-08,S01,Pho Sunrise,5,1,0,0,0.344,225,89969.0,88.22,20243005.0
2025-02-09,S01,Pho Sunrise,6,1,0,0,0.509,218,84983.0,90.66,18526204.0
2025-02-10,S01,Pho Sunrise,0,0,0,1,0.661,233,87189.0,85.82,20315128.0
2025-02-11,S01,Pho Sunrise,1,0,0,0,0.211,202,82014.0,83.14,16566885.0
2025-02-12,S01,Pho Sunrise,2,0,0,0,0.115,223,83354.0,91.82,18587903.0
2025-02-13,S01,Pho Sunrise,3,0,0,0,0.488,224,84475.0,90.15,18922328.0
2025-02-14,S01,Pho Sunrise,4,0,0,1,0.428,251,81313.0,105.99,20409583.0
2025-02-15,S01,Pho Sunrise,5,1,0,0,0.883,233,82099.0,96.17,19129061.0
2025-02-16,S01,Pho Sunrise,6,1,0,0,0.262,246,89100.0,98.8,21918576.0
2025-02-17,S01,Pho Sunrise,0,0,0,0,0.0,231,81388.0,93.94,18800580.0
2025-02-18,S01,Pho Sunrise,1,0,0,0,0.605,204,79024.0,78.14,16120840.0
2025-02-19,S01,Pho Sunrise,2,0,0,0,0.123,215,91246.0,106.04,19617784.0
2025-02-20,S01,Pho Sunrise,3,0,0,1,0.306,265,90878.0,104.71,24082557.0
2025-02-21,S01,Pho Sunrise,4,0,0,0,0.535,217,83721.0,90.41,18167472.0
2025-02-22,S01,Pho Sunrise,5,1,0,1,0.332,284,85789.0,115.31,24364183.0
2025-02-23,S01,Pho Sunrise,6,1,0,0,0.583,234,86196.0,98.59,20169857.0
2025-02-24,S01,Pho Sunrise,0,0,0,0,0.236,232,84669.0,109.68,19643260.0
2025-02-25,S01,Pho Sunrise,1,0,0,0,0.457,208,81218.0,93.6,16893303.0
2025-02-26,S01,Pho Sunrise,2,0,0,1,0.476,235,88153.0,101.39,20716023.0
2025-02-27,S01,Pho Sunrise,3,0,0,0,0.286,231,85178.0,95.32,19676207.0
2025-02-28,S01,Pho Sunrise,4,0,0,0,0.33,228,90003.0,81.01,20520701.0
2025-03-01,S01,Pho Sunrise,5,1,0,0,0.415,249,83735.0,93.56,20850137.0
2025-03-02,S01,Pho Sunrise,6,1,0,0,0.725,210,87937.0,86.46,18466773.0
2025-03-03,S01,Pho Sunrise,0,0,0,0,0.169,232,89420.0,100.85,20745475.0
2025-03-04,S01,Pho Sunrise,1,0,0,0,0.615,221,90929.0,95.26,20095392.0
2025-03-05,S01,Pho Sunrise,2,0,0,0,0.321,231,82629.0,102.78,19087243.0
2025-03-06,S01,Pho Sunrise,3,0,0,0,0.536,218,88982.0,95.68,19398128.0
2025-03-07,S01,Pho Sunrise,4,0,0,0,0.526,202,84772.0,78.87,17124017.0
2025-03-08,S01,Pho Sunrise,5,1,0,0,0.682,244,82624.0,96.25,20160167.0
2025-03-09,S01,Pho Sunrise,6,1,0,0,0.137,258,86061.0,115.87,22203695.0
2025-03-10,S01,Pho Sunrise,0,0,0,0,0.0,253,85245.0,108.9,21566963.0
2025-03-11,S01,Pho Sunrise,1,0,0,0,0.0,243,87009.0,92.37,21143207.0
2025-03-12,S01,Pho Sunrise,2,0,0,1,0.454,279,83059.0,122.9,23173403.0
2025-03-13,S01,Pho Sunrise,3,0,0,0,0.427,233,85919.0,92.79,20019166.0
2025-03-14,S01,Pho Sunrise,4,0,0,0,0.349,239,88399.0,94.0,21127457.0
2025-03-15,S01,Pho Sunrise,5,1,0,0,0.676,231,82204.0,98.2,18989205.0
2025-03-16,S01,Pho Sunrise,6,1,0,0,0.382,273,87913.0,120.45,24000276.0
2025-03-17,S01,Pho Sunrise,0,0,0,1,0.846,246,78188.0,113.27,19234254.0
2025-03-18,S01,Pho Sunrise,1,0,0,0,0.402,250,79552.0,97.11,19888079.0
2025-03-19,S01,Pho Sunrise,2,0,0,0,0.221,248,86782.0,105.89,21521995.0
2025-03-20,S01,Pho Sunrise,3,0,0,1,0.0,301,83396.0,129.9,25102184.0
2025-03-21,S01,Pho Sunrise,4,0,0,1,0.408,286,85779.0,123.94,24532885.0
2025-03-22,S01,Pho Sunrise,5,1,0,0,0.344,264,87790.0,108.26,23176506.0
2025-03-23,S01,Pho Sunrise,6,1,0,0,0.327,261,87820.0,96.51,22921115.0
2025-03-24,S01,Pho Sunrise,0,0,0,0,0.084,222,82694.0,97.43,18358046.0
2025-03-25,S01,Pho Sunrise,1,0,0,0,0.42,249,89514.0,104.15,22289019.0
2025-03-26,S01,Pho Sunrise,2,0,0,0,0.36,255,85313.0,101.72,21754874.0
2025-03-27,S01,Pho Sunrise,3,0,0,0,0.084,242,83783.0,106.54,20275424.0
2025-03-28,S01,Pho Sunrise,4,0,0,0,0.104,257,81462.0,111.01,20935773.0
2025-03-29,S01,Pho Sunrise,5,1,0,0,0.014,294,82943.0,119.52,24385241.0
2025-03-30,S01,Pho Sunrise,6,1,0,0,0.249,275,84357.0,117.78,23198057.0
2025-03-31,S01,Pho Sunrise,0,0,0,0,0.644,221,79979.0,98.76,17675289.0
2025-04-01,S01,Pho Sunrise,1,0,0,0,0.603,232,84554.0,99.48,19616559.0
2025-04-02,S01,Pho Sunrise,2,0,0,0,0.795,218,85545.0,97.47,18648733.0
2025-04-03,S01,Pho Sunrise,3,0,0,0,0.447,235,86067.0,93.76,20225813.0
